NO,NO2,AirTemp,Press,UMR,WD,WS,O3,PM10
-1.39,13.92,-1.4,941.0,73.7,281.29,2.0,44.79,34.65
-1.35,11.51,-1.4,941.0,72.9,282.62,1.69,44.79,34.65
-1.24,11.46,-1.5,942.0,72.3,275.63,1.86,44.79,34.65
-0.96,9.69,-1.6,942.0,73.0,278.97,2.08,44.79,34.65
-0.77,10.8,-1.6,943.0,72.1,274.92,1.87,44.79,34.65
-0.56,9.22,-1.6,943.0,70.5,272.59,1.69,44.79,34.65
-0.5,9.38,-1.9,944.0,70.5,286.05,2.01,44.79,34.65
-0.28,18.11,-2.7,944.0,73.1,291.37,2.35,44.79,34.65
0.42,16.5,-3.7,945.0,74.5,289.51,3.23,44.79,34.65
1.62,14.2,-2.8,946.0,70.0,288.79,2.83,44.79,34.65
1.24,9.18,-0.8,946.0,64.6,250.81,1.64,44.79,34.65
0.98,7.07,1.1,946.0,59.9,152.52,0.97,44.79,34.65
0.82,6.53,1.6,946.0,58.0,136.26,1.18,44.79,34.65
0.7,6.53,1.8,945.0,55.9,186.54,1.38,44.79,34.65
1.24,7.83,2.0,945.0,54.2,148.29,0.97,44.79,34.65
0.89,8.15,1.5,946.0,56.2,124.41,0.83,44.79,34.65
1.92,18.06,0.4,946.0,61.2,138.78,0.74,44.79,34.65
7.71,46.09,-0.7,947.0,65.9,247.63,1.4,44.79,34.65
0.95,46.72,-1.7,947.0,66.9,288.79,2.14,44.79,34.65
0.23,36.32,-2.3,948.0,64.6,290.18,2.54,44.79,34.65
0.26,29.44,-2.6,948.0,62.7,289.41,2.61,44.79,34.65
35.36,54.93,-3.1,948.0,62.9,232.67,0.89,44.79,34.65
44.44,62.41,-4.2,949.0,67.0,217.65,0.76,44.79,34.65
26.32,61.39,-4.7,949.0,68.9,252.71,0.94,44.79,34.65
21.33,60.54,-5.5,949.0,73.2,265.6,0.98,13.1,144.05
26.99,57.98,-6.2,949.0,77.6,246.53,0.84,13.1,144.05
6.81,48.08,-6.4,949.0,78.5,215.84,0.65,13.1,144.05
7.01,47.03,-6.8,949.0,80.7,264.91,1.06,13.1,144.05
14.14,46.38,-6.9,949.0,81.7,248.44,0.66,13.1,144.05
19.7,46.78,-7.4,949.0,83.0,242.96,0.6,13.1,144.05
22.86,48.38,-7.1,949.0,83.1,224.7,0.85,13.1,144.05
65.8,55.13,-7.3,949.0,83.5,230.65,0.69,13.1,144.05
103.84,59.9,-7.5,949.0,83.7,200.68,0.4,13.1,144.05
97.42,67.76,-5.7,950.0,81.1,82.22,0.75,13.1,144.05
71.67,80.64,-2.7,950.0,71.4,113.93,0.71,13.1,144.05
22.63,70.57,1.2,947.0,55.4,63.05,0.87,13.1,144.05
20.38,86.2,2.2,947.0,52.1,63.36,0.98,13.1,144.05
31.82,87.28,2.2,947.0,52.4,151.44,0.71,13.1,144.05
69.05,120.62,1.5,947.0,57.5,207.37,0.84,13.1,144.05
113.99,131.26,-0.3,947.0,68.1,266.72,1.24,13.1,144.05
193.4,130.31,-1.4,947.0,74.4,259.66,1.03,13.1,144.05
136.4,103.18,-1.6,947.0,76.8,258.13,1.19,13.1,144.05
89.51,92.0,-1.9,947.0,78.2,280.96,1.33,13.1,144.05
99.69,86.17,-2.4,947.0,79.6,267.57,1.13,13.1,144.05
133.69,84.73,-3.1,948.0,81.6,265.03,0.99,13.1,144.05
63.6,77.24,-2.8,948.0,81.4,274.01,1.29,13.1,144.05
63.85,74.79,-3.4,947.0,82.0,258.42,0.88,9.63,290.84
81.74,70.62,-4.2,947.0,84.5,251.56,0.71,9.63,290.84
42.34,56.97,-4.7,947.0,86.2,262.53,0.86,9.63,290.84
28.68,51.71,-4.9,947.0,86.5,210.21,0.52,9.63,290.84
75.24,53.66,-5.3,947.0,86.9,238.31,0.6,9.63,290.84
141.26,60.33,-5.4,947.0,86.8,218.13,0.6,9.63,290.84
221.99,68.87,-5.7,948.0,86.9,188.85,0.56,9.63,290.84
437.61,112.34,-5.3,949.0,86.6,188.59,0.55,9.63,290.84
362.64,130.38,-3.2,949.0,82.4,208.0,0.48,9.63,290.84
245.01,186.78,-1.3,949.0,73.9,67.2,0.91,9.63,290.84
227.57,235.58,0.4,949.0,67.7,51.51,0.96,9.63,290.84
177.26,273.16,3.1,948.0,58.7,69.44,0.74,9.63,290.84
102.17,242.68,3.8,948.0,56.7,53.0,1.33,9.63,290.84
70.69,207.17,4.3,948.0,55.4,58.01,0.96,9.63,290.84
84.7,208.21,4.9,948.0,55.4,89.71,0.83,9.63,290.84
215.54,222.87,4.3,948.0,59.2,102.04,0.69,9.63,290.84
439.72,199.66,3.0,949.0,70.2,242.65,1.47,9.63,290.84
365.14,219.59,1.7,949.0,72.1,130.63,0.84,9.63,290.84
655.61,233.33,0.1,949.0,80.0,206.05,0.52,9.63,290.84
553.24,183.67,-0.8,950.0,84.4,240.89,0.72,9.63,290.84
354.38,150.86,-0.9,949.0,85.6,214.22,1.15,9.63,290.84
297.02,136.31,-1.1,950.0,84.2,188.69,0.68,9.63,290.84
277.17,110.27,-1.9,949.0,86.8,225.86,0.78,9.63,290.84
